time;CH1;CH2
0.0956;1.4;-4.64
0.096;1.4;-4.64
0.0964;1.4;-4.56
0.0968;1.6;-4.64
0.0972;1.6;-4.56
0.0976;1.6;-4.56
0.098;1.6;-4.56
0.0984;1.6;-4.56
0.0988;1.6;-4.56
0.0992;1.6;-4.56
0.0996;1.6;-4.56
0.1;1.6;-4.56
0.1004;1.6;-4.48
0.1008;1.6;-4.48
0.1012;1.6;-4.48
0.1016;1.6;-4.48
0.102;1.6;-4.4
0.1024;1.6;-4.48
0.1028;1.6;-4.48
0.1032;1.8;-4.4
0.1036;1.8;-4.4
0.104;1.6;-4.4
0.1044;1.8;-4.32
0.1048;1.6;-4.32
0.1052;1.8;-4.32
0.1056;1.6;-4.32
0.106;1.6;-4.24
0.1064;1.8;-4.32
0.1068;1.8;-4.24
0.1072;1.8;-4.24
0.1076;1.6;-4.24
0.108;1.8;-4.24
0.1084;1.8;-4.16
0.1088;1.6;-4.08
0.1092;1.8;-4.08
0.1096;1.8;-4.08
0.11;1.8;-4
0.1104;1.8;-4
0.1108;1.8;-4
0.1112;1.8;-4
0.1116;1.8;-4
0.112;1.8;-3.92
0.1124;1.8;-3.92
0.1128;1.8;-3.92
0.1132;1.8;-3.84
0.1136;1.8;-3.84
0.114;1.8;-3.84
0.1144;1.8;-3.84
0.1148;2;-3.76
0.1152;1.8;-3.76
0.1156;1.8;-3.68
0.116;2;-3.68
0.1164;2;-3.68
0.1168;1.8;-3.6
0.1172;1.8;-3.6
0.1176;2;-3.6
0.118;2;-3.52
0.1184;2;-3.52
0.1188;1.8;-3.52
0.1192;2;-3.44
0.1196;2;-3.36
0.12;2;-3.44
0.1204;2;-3.36
0.1208;2;-3.36
0.1212;2;-3.28
0.1216;2;-3.28
0.122;2;-3.28
0.1224;2;-3.28
0.1228;2;-3.2
0.1232;2;-3.12
0.1236;2;-3.2
0.124;2;-3.2
0.1244;2;-3.12
0.1248;2;-3.04
0.1252;2;-3.04
0.1256;2;-2.96
0.126;2;-2.96
0.1264;2;-2.88
0.1268;2;-2.88
0.1272;2;-2.88
0.1276;2;-2.88
0.128;2;-2.88
0.1284;2;-2.8
0.1288;2;-2.8
0.1292;2;-2.8
0.1296;2;-2.8
0.13;2;-2.8
0.1304;2.2;-2.72
0.1308;2.2;-2.64
0.1312;2;-2.64
0.1316;2;-2.64
0.132;2;-2.64
0.1324;2;-2.56
0.1328;2.2;-2.56
0.1332;2.2;-2.56
0.1336;2.2;-2.48
0.134;2.2;-2.48
0.1344;2.2;-2.48
0.1348;2;-2.4
0.1352;2.2;-2.4
0.1356;2.2;-2.32
0.136;2.2;-2.32
0.1364;2.2;-2.24
0.1368;2.2;-2.24
0.1372;2.2;-2.24
0.1376;2.2;-2.16
0.138;2.2;-2.16
0.1384;2.2;-2.16
0.1388;2.2;-2.08
0.1392;2.2;-2.08
0.1396;2.2;-2
0.14;2.2;-2
0.1404;2.2;-2
0.1408;2.2;-2
0.1412;2.2;-1.92
0.1416;2.2;-1.92
0.142;2.2;-1.92
0.1424;2.2;-1.84
0.1428;2.2;-1.76
0.1432;2.2;-1.76
0.1436;2.2;-1.76
0.144;2.2;-1.76
0.1444;2.4;-1.68
0.1448;2.2;-1.68
0.1452;2.2;-1.68
0.1456;2.2;-1.6
0.146;2.4;-1.6
0.1464;2.4;-1.6
0.1468;2.2;-1.6
0.1472;2.2;-1.6
0.1476;2.4;-1.52
0.148;2.4;-1.52
0.1484;2.4;-1.52
0.1488;2.4;-1.52
0.1492;2.4;-1.44
0.1496;2.4;-1.44
0.15;2.4;-1.44
0.1504;2.4;-1.44
0.1508;2.4;-1.36
0.1512;2.4;-1.36
0.1516;2.4;-1.36
0.152;2.4;-1.28
0.1524;2.4;-1.28
0.1528;2.4;-1.28
0.1532;2.4;-1.28
0.1536;2.6;-1.28
0.154;2.4;-1.2
0.1544;2.4;-1.2
0.1548;2.4;-1.12
0.1552;2.4;-1.12
0.1556;2.4;-1.12
0.156;2.4;-1.04
0.1564;2.6;-1.04
0.1568;2.4;-1.04
0.1572;2.4;-1.04
0.1576;2.4;-0.96
0.158;2.6;-0.96
0.1584;2.6;-0.96
0.1588;2.4;-0.88
0.1592;2.4;-0.88
0.1596;2.6;-0.88
0.16;2.6;-0.8
0.1604;2.6;-0.8
0.1608;2.6;-0.8
0.1612;2.6;-0.8
0.1616;2.6;-0.72
0.162;2.6;-0.72
0.1624;2.6;-0.72
0.1628;2.6;-0.72
0.1632;2.6;-0.72
0.1636;2.6;-0.72
0.164;2.6;-0.72
0.1644;2.8;-0.72
0.1648;2.6;-0.64
0.1652;2.6;-0.64
0.1656;2.6;-0.56
0.166;2.6;-0.56
0.1664;2.6;-0.56
0.1668;2.6;-0.56
0.1672;2.8;-0.48
0.1676;2.8;-0.48
0.168;2.6;-0.48
0.1684;2.6;-0.48
0.1688;2.8;-0.48
0.1692;2.8;-0.48
0.1696;2.8;-0.4
0.17;2.8;-0.4
0.1704;2.8;-0.32
0.1708;2.8;-0.4
0.1712;2.8;-0.32
0.1716;2.8;-0.32
0.172;2.8;-0.32
0.1724;2.8;-0.24
0.1728;2.8;-0.24
0.1732;2.8;-0.24
0.1736;2.8;-0.24
0.174;2.8;-0.24
0.1744;2.8;-0.16
0.1748;2.8;-0.16
0.1752;2.8;-0.16
0.1756;2.8;-0.16
0.176;2.8;-0.16
0.1764;2.8;-0.16
0.1768;2.8;-0.08
0.1772;2.8;-0.08
0.1776;2.8;-0.08
0.178;2.8;-0.08
0.1784;2.8;0
0.1788;2.8;-0.08
0.1792;2.8;0
0.1796;2.8;0
0.18;2.8;0
0.1804;3;0
0.1808;2.8;0.08
0.1812;2.8;0.08
0.1816;2.8;0.08
0.182;2.8;0.08
0.1824;3;0.08
0.1828;2.8;0.08
0.1832;3;0.08
0.1836;2.8;0.08
0.184;3;0.08
0.1844;2.8;0.08
0.1848;3;0.16
0.1852;3;0.16
0.1856;3;0.16
0.186;3;0.16
0.1864;3;0.16
0.1868;3;0.24
0.1872;3;0.24
0.1876;3;0.24
0.188;3;0.32
0.1884;3;0.32
0.1888;3;0.32
0.1892;3;0.32
0.1896;3;0.4
0.19;3;0.4
0.1904;3;0.32
0.1908;3;0.4
0.1912;3;0.4
0.1916;3.2;0.4
0.192;3.2;0.4
0.1924;3;0.4
0.1928;3;0.4
0.1932;3.2;0.48
0.1936;3.2;0.4
0.194;3;0.48
0.1944;3.2;0.48
0.1948;3;0.56
0.1952;3.2;0.56
0.1956;3.2;0.48
0.196;3.2;0.48
0.1964;3.2;0.48
0.1968;3.2;0.56
0.1972;3.2;0.48
0.1976;3.2;0.56
0.198;3.2;0.48
0.1984;3.2;0.56
0.1988;3.2;0.56
0.1992;3.2;0.56
0.1996;3.2;0.64
0.2;3.2;0.64
0.2004;3.2;0.64
0.2008;3.2;0.64
0.2012;3.2;0.64
0.2016;3.2;0.64
0.202;3.2;0.64
0.2024;3.2;0.64
0.2028;3.4;0.64
0.2032;3.2;0.64
0.2036;3.2;0.72
0.204;3.2;0.72
0.2044;3.4;0.72
0.2048;3.4;0.72
0.2052;3.4;0.72
0.2056;3.4;0.8
0.206;3.4;0.8
0.2064;3.4;0.72
0.2068;3.4;0.72
0.2072;3.4;0.72
0.2076;3.4;0.8
0.208;3.4;0.8
0.2084;3.4;0.8
0.2088;3.4;0.8
0.2092;3.4;0.8
0.2096;3.4;0.88
0.21;3.4;0.8
0.2104;3.4;0.8
0.2108;3.4;0.8
0.2112;3.4;0.88
0.2116;3.4;0.88
0.212;3.4;0.88
0.2124;3.4;0.88
0.2128;3.4;0.88
0.2132;3.4;0.8
0.2136;3.4;0.88
0.214;3.4;0.88
0.2144;3.4;0.88
0.2148;3.4;0.88
0.2152;3.4;0.88
0.2156;3.6;0.96
0.216;3.4;0.96
0.2164;3.4;0.96
0.2168;3.4;0.96
0.2172;3.6;0.96
0.2176;3.4;0.96
0.218;3.6;0.96
0.2184;3.4;0.96
0.2188;3.4;0.96
0.2192;3.6;0.96
0.2196;3.6;1.04
0.22;3.6;1.04
0.2204;3.4;1.04
0.2208;3.6;1.12
0.2212;3.6;1.12
0.2216;3.4;1.04
0.222;3.6;1.12
0.2224;3.6;1.04
0.2228;3.4;1.12
0.2232;3.6;1.12
0.2236;3.6;1.12
0.224;3.6;1.12
0.2244;3.6;1.12
0.2248;3.6;1.12
0.2252;3.6;1.12
0.2256;3.6;1.12
0.226;3.6;1.12
0.2264;3.6;1.12
0.2268;3.6;1.12
0.2272;3.6;1.12
0.2276;3.6;1.12
0.228;3.8;1.12
0.2284;3.6;1.12
0.2288;3.8;1.2
0.2292;3.6;1.12
0.2296;3.6;1.2
0.23;3.8;1.12
0.2304;3.8;1.12
0.2308;3.8;1.2
0.2312;3.8;1.12
0.2316;3.8;1.2
0.232;3.8;1.2
0.2324;3.8;1.2
0.2328;3.8;1.2
0.2332;3.8;1.2
0.2336;3.8;1.28
0.234;3.8;1.2
0.2344;3.8;1.2
0.2348;3.8;1.28
0.2352;3.8;1.28
0.2356;3.8;1.28
0.236;3.8;1.28
0.2364;3.8;1.28
0.2368;3.8;1.28
0.2372;3.8;1.28
0.2376;3.8;1.28
0.238;3.8;1.28
0.2384;3.8;1.36
0.2388;3.8;1.28
0.2392;3.8;1.28
0.2396;3.8;1.28
0.24;3.8;1.36
0.2404;4;1.36
0.2408;4;1.36
0.2412;3.8;1.28
